Structure,Material,Value,Card Count,Role,Timing,Function,Type,Set
Academy,Brick,2,3,Legionary,In Addition,May perform one THINKER action after turn during which you performed CRAFTSMAN action,Additional Action,
Aerarium,Concrete,2,3,Architect,,"Use highest influence among players (except scoring). May exchange influence to trigger ""Upon Completion"" effect on a complete building",,Board Game Geek expansion
Amphitheatre,Concrete,2,3,Architect,Upon Completion,May perform one CRAFTSMAN action for each INFLUENCE,Additional Action (Influence),
Aqueduct,Concrete,2,3,Architect,In Addition,When performing PATRON action may take client from HAND.  Maximum CLIENTELE x 2,Increase Limit,
Archway,Brick,2,3,Legionary,,When performing ARCHITECT action may take material from POOL,Change Source,
Atrium,Brick,2,3,Legionary,,When performing MERCHANT action may take from DECK (do not look at card),Change Source,
Bacchanalia,Stone,3,3,Merchant,Upon Completion,"Upon Completion, reveal cards from the deck equal to influence. May put 1 in VAULT, 1 in STOCKPILE, 1 in CLIENTELE, 1 on in-town site, 1 as a material for a building. Leftovers go in hand.",,Board Game Geek expansion
Bar,Rubble,1,6,Laborer,,When performing PATRON action may take card from DECK,Change Source,
Basilica,Marble,3,3,Patron,In Addition,When performing MERCHANT action may take material from HAND,Change Source,
Bath,Brick,2,3,Legionary,,When performing PATRON action each client you hire may perform its action once as it enters CLIENTELE,Additional Action,
Bridge,Concrete,2,3,Architect,In Addition,When performing LEGIONARY action may take material from STOCKPILE.  Ignore Palisades.  May take from all opponents,Change source,
Castra,Rubble,1,6,Laborer,In Addition,THINK at end of a round when you lost card to LEGIONARY,Immunity,Board Game Geek expansion
Castra Praetoria,Brick,2,3,Legionary,"In Addition, Upon Completion","May show incomplete building to demand with LEGIONARY. Upon completion, may put material from this building in STOCKPILE.",,Board Game Geek expansion
Catacomb,Stone,3,3,Merchant,Upon Completion,Game ends immediately.  Score as usual,End Game,
Circus,Wood,1,6,Craftsman,,May play two cards of same role as JACK,Wildcards,Imperium
Circus Maximus,Stone,3,3,Merchant,,Each client may perform its action twice when you lead or follow its role,Additional Action,
Colosseum,Stone,3,3,Merchant,In Addition,When performing LEGIONARY action may take opponent's client and place in VAULT as material,Change Destination,Imperium
Crane,Wood,1,6,Craftsman,,May use any card to lead or follow ARCHITECT,Wildcards,Republic
Dock,Wood,1,6,Craftsman,In Addition,When performing LABORER action may take material from HAND,Change Source,
Domus,Wood,1,6,Craftsman,Upon Completion,"Upon Completion, may perform one PATRON action",Additional Action,Board Game Geek expansion
Domus Aurea,Stone,3,3,Merchant,In Addition,"When performing LEGIONARY action, may tear down matching incomplete building with no material. Foundation -> STOCKPILE, site -> INFLUENCE",,Republic
Forum,Marble,3,3,Patron,,One client of each role wins game,Winner,Imperium
Forum Romanum,Marble,3,3,Patron,,One client of each role and one of each material in STOCKPILE wins game,Winner,Republic
Foundry,Brick,2,3,Legionary,Upon Completion,May perform one LABORER action for each INFLUENCE,Additional Action (Influence),
Fountain,Marble,3,3,Patron,,When performing CRAFTSMAN action may use cards from DECK.  Retain any unused cards in HAND,Change Source,
Garden,Stone,3,3,Merchant,Upon Completion,May perform one PATRON action for each INFLUENCE,Additional Action (Influence),
Gate,Brick,2,3,Legionary,,Incomplete MARBLE structures provide FUNCTION,Building Shortcut,
Insula,Rubble,1,6,Laborer,,Maximum CLIENTELE + 2,Increase Limit,
Latrine,Rubble,1,6,Laborer,,Before performing THINKER action may discard one card to POOL,Discard,
Ludus Magnus,Marble,3,3,Patron,,Each MERCHANT client counts as any role,Wildcards,
Market,Wood,1,6,Craftsman,,Maximum VAULT + 2,Increase Limit,
Palace,Marble,3,3,Patron,,May play multiple cards of same role in order to perform additional actions,Additional Action,
Palisade,Wood,1,6,Craftsman,,Immune to LEGIONARY,Immunity,
Plebeian Council,Marble,3,3,Patron,,Win whenever you have more LABORER clients than any other player and there are more LABORER clients than LEGIONARY clients total.,Winner,Board Game Geek expansion
Prison,Stone,3,3,Merchant,Upon Completion,May exchange INFLUENCE for opponent's completed structure,Influence Exchange,
Road,Rubble,1,6,Laborer,,When adding to STONE structure may use any material,Building Shortcut,
School,Brick,2,3,Legionary,Upon Completion,May perform one THINKER action for each INFLUENCE,Additional Action (Influence),
Scriptorium,Stone,3,3,Merchant,,May use one MARBLE material to complete any structure,Building Shortcut,
Senate,Concrete,2,3,Architect,,May take opponent's JACK into HAND at end of turn in which it is played,Change Destination,Imperium
Sewer,Stone,3,3,Merchant,,May place Orders cards used to lead or follow into STOCKPILE at end of turn,Change Destination,
Shrine,Brick,2,3,Legionary,,Maximum HAND + 2,Increase Limit,
Solarium,Concrete,2,3,Architect,In Addition,"Whenever you complete a building using ARCHITECT, may move one material from building to STOCKPILE. Includes when building SOLARIUM.",,Board Game Geek expansion
Stairway,Marble,3,3,Patron,,When performing ARCHITECT action may add material to opponent's completed STRUCTURE to make function available to all players,Building Shortcut,
Statue,Marble,3,3,Patron,,+ 3 VP. May place Statue on any SITE,Victory Points,
Storeroom,Concrete,2,3,Architect,,All clients count as LABORERS,Wildcards,
Temple,Marble,3,3,Patron,,Maximum HAND + 4,Increase Limit,
Tower,Concrete,2,3,Architect,,May use RUBBLE in any STRUCTURE.  May lay foundation onto any out of town SITE at no extra cost,Building Shortcut,
Tribunal,Concrete,2,3,Architect,,"After performing THINKER action, may draw a JACK",,Republic
Triclinium,Marble,3,3,Patron,In Addition,"When leading or following, may put each client into VAULT after it performs its role.",,Board Game Geek expansion
Villa,Stone,3,3,Merchant,Early Completion,When performing ARCHITECT action may complete Villa with one material,Building Shortcut,
Vomitorium,Concrete,2,3,Architect,,Before performing THINKER action may discard all cards to POOL,Discard,
Wall,Concrete,2,3,Architect,,Immune to LEGIONARY.  + 1 VP for every two materials in STOCKPILE,Immunity/Victory Points,
Watch Post,Stone,3,3,Merchant,,"May use CRAFTSMAN to tear down one of your completed bulidings. Foundation -> HAND, materials -> STOCKPILE.",,Board Game Geek expansion
Watermill,Brick,2,3,Legionary,In Addition,"At end of turn when you led or followed LABORER, may use each ARCHITECT client once.",,Board Game Geek expansion
